"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SIMPLEXINF","Simplex Infrastructures Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","13-Sep-2006","20-Sep-2006","-","-"
"BLUESTARCO","Blue Star Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","20-Sep-2006","27-Sep-2006","-","-"
"VOLTAS","Voltas Limited","EQ","Fv Split Rs.10/- To Re.1/","1","22-Sep-2006","29-Sep-2006","-","-"
"GEOJITFSL","Geojit Financial Services Limited","EQ","Fv Split Rs.10/- To Re.1/","1","26-Sep-2006","04-Oct-2006","-","-"
"ALEMBICLTD","Alembic Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","26-Sep-2006","04-Oct-2006","-","-"
"MUNJALSHOW","Munjal Showa Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","16-Oct-2006","23-Oct-2006","-","-"
"ELECON","Elecon Engineering Company Limited","EQ","Fv Split Rs.10/- To Rs.2/","1","17-Oct-2006","26-Oct-2006","-","-"
"INDHOTEL","The Indian Hotels Company Limited","EQ","Fv Split Rs.10/- To Re.1/","1","27-Oct-2006","03-Nov-2006","-","-"
"TCI","Transport Corporation of India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","05-Dec-2006","12-Dec-2006","-","-"
"SANWARIA","Sanwaria Consumer Limited","EQ","Fv Split Rs.5/- To Rs.2/","1","08-Dec-2006","15-Dec-2006","-","-"
"GRAPHITE","Graphite India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","11-Dec-2006","18-Dec-2006","-","-"
"FEL","Future Enterprises Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","12-Dec-2006","19-Dec-2006","-","-"
"KEI","KEI Industries Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","21-Dec-2006","29-Dec-2006","-","-"
"HTMEDIA","HT Media Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","28-Dec-2006","05-Jan-2007","-","-"
"FINCABLES","Finolex Cables Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","08-Jan-2007","15-Jan-2007","-","-"
"PARACABLES","Paramount Communications Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","25-Jan-2007","05-Feb-2007","-","-"
"GOKEX","Gokaldas Exports Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","08-Feb-2007","15-Feb-2007","-","-"
"MARICO","Marico Limited","EQ","Fv Split Rs.10/- To Re.1/","1","21-Feb-2007","28-Feb-2007","-","-"
"MFSL","Max Financial Services Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","12-Mar-2007","19-Mar-2007","-","-"
"DCHL","Deccan Chronicle Holdings Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","13-Mar-2007","21-Mar-2007","-","-"
"NRBBEARING","NRB Bearing Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","26-Mar-2007","04-Apr-2007","-","-"
"PUNJLLOYD","Punj Lloyd Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","29-Mar-2007","06-Apr-2007","-","-"
"MIRZAINT","Mirza International Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","24-Apr-2007","01-May-2007","-","-"
"THOMASCOOK","Thomas Cook  (India)  Limited","EQ","Fv Split Rs.10/- To Re.1/","1","14-May-2007","21-May-2007","-","-"
"GUJRATGAS","Gujarat Gas Company Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","15-May-2007","22-May-2007","-","-"
"HUHTAMAKI","Huhtamaki India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","25-May-2007","01-Jun-2007","-","-"
"ABB","ABB India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","28-Jun-2007","06-Jul-2007","-","-"
"KSOILS","K S Oils Limited","EQ","Fv Split Rs.10/- To Re.1/","1","18-Jul-2007","25-Jul-2007","-","-"
"EASUNREYRL","Easun Reyrolle Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","31-Jul-2007","07-Aug-2007","-","-"
"DIVISLAB","Divi's Laboratories Limited","EQ","Agm/Fv Split Rs10 To Rs2","2","03-Aug-2007","-","10-Aug-2007","13-Aug-2007"
"APOLLOTYRE","Apollo Tyres Limited","EQ","Fv Split Rs.10/- To Re.1/","1","17-Aug-2007","27-Aug-2007","-","-"
"EKC","Everest Kanto Cylinder Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","21-Aug-2007","28-Aug-2007","-","-"
"SANGHVIMOV","Sanghvi Movers Limited","EQ","Fv Split Rs.10/- To Rs.2/","1","23-Aug-2007","30-Aug-2007","-","-"
"HIRECT","Hind Rectifiers Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","28-Aug-2007","04-Sep-2007","-","-"
"USHAMART","Usha Martin Limited","EQ","Fv Split Rs.5/- To Re.1/","1","29-Aug-2007","05-Sep-2007","-","-"
"GLENMARK","Glenmark Pharmaceuticals Limited","EQ","Agm/Fv Split Rs.2 To Re.1","1","10-Sep-2007","-","17-Sep-2007","20-Sep-2007"
"ELECTCAST","Electrosteel Castings Limited","EQ","Fv Split Rs.10/- To Re.1/","1","17-Sep-2007","24-Sep-2007","-","-"
"ARE&M","Amara Raja Energy & Mobility Limited","EQ","Fv Split Rs.10/- To Rs.2/","1","19-Sep-2007","26-Sep-2007","-","-"
"BATLIBOI","Batliboi Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","26-Sep-2007","04-Oct-2007","-","-"
"GMRINFRA","GMR Airports Infrastructure Limited","EQ","Fv Split Rs.10/- To Rs.2/","1","28-Sep-2007","08-Oct-2007","-","-"
"ANANTRAJ","Anant Raj Limited","EQ","Fv Split Rs.10/- To Re.2/","2","08-Oct-2007","15-Oct-2007","-","-"
"MANINDS","Man Industries (India) Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","09-Oct-2007","16-Oct-2007","-","-"
"PENINLAND","Peninsula Land Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","16-Oct-2007","23-Oct-2007","-","-"
"ASIANELEC","Asian Electronics Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","22-Oct-2007","29-Oct-2007","-","-"
"BLKASHYAP","B. L. Kashyap and Sons Limited","EQ","Fv Split Rs.10/- To Rs.5/","1","22-Oct-2007","29-Oct-2007","-","-"
"ADVANIHOTR","Advani Hotels & Resorts (India) Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","22-Oct-2007","29-Oct-2007","-","-"
"ICSA","ICSA (India) Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","23-Oct-2007","30-Oct-2007","-","-"
"WSTCSTPAPR","West Coast Paper Mills Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","26-Oct-2007","02-Nov-2007","-","-"
"RUCHISOYA","Ruchi Soya Industries Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","29-Oct-2007","03-Nov-2007","-","-"
